2026-02-24 10:06:11 | INFO     | angel_source | Authenticated (attempt 2)
2026-02-24 10:06:11 | INFO     | angel_source | Downloading Angel One instrument master …
2026-02-24 10:06:15 | WARNING  | angel_source | Could not download master: HTTPSConnectionPool(host='margincalculator.angelbroking.com', port=443): Max retries exceeded with url: /OpenAPI_File/files/OpenAPIScripMaster.json (Caused by NewConnectionError("HTTPSConnection(host='margincalculator.angelbroking.com', port=443): Failed to establish a new connection: [Errno 101] Network is unreachable")) — spot/OI may be unavailable
2026-02-24 10:06:15 | INFO     | angel_source | Bootstrapping spot prices …
2026-02-24 10:06:15 | WARNING  | angel_source | Could not download master: HTTPSConnectionPool(host='margincalculator.angelbroking.com', port=443): Max retries exceeded with url: /OpenAPI_File/files/OpenAPIScripMaster.json (Caused by NewConnectionError("HTTPSConnection(host='margincalculator.angelbroking.com', port=443): Failed to establish a new connection: [Errno 101] Network is unreachable")) — spot/OI may be unavailable
2026-02-24 10:06:15 | INFO     | angel_source | Bootstrapping spot prices …
2026-02-24 10:06:28 | WARNING  | angel_source | Bootstrap batch failed NSE ['99926000', '99926009', '99926074']: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Read timed out. (read timeout=10)
2026-02-24 10:06:28 | WARNING  | angel_source | Bootstrap batch failed NSE ['99926000', '99926009', '99926074']: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Read timed out. (read timeout=10)
2026-02-24 10:06:32 | INFO     | angel_source | Bootstrap done: 1/37 spots resolved
2026-02-24 10:06:32 | INFO     | angel_source | Angel WS thread started
2026-02-24 10:06:32 | INFO     | angel_source | Bootstrap done: 1/37 spots resolved
2026-02-24 10:06:32 | INFO     | angel_source | Angel WS thread started
2026-02-24 10:06:33 | INFO     | angel_source | Angel WS connected
2026-02-24 10:06:33 | INFO     | angel_source | Angel WS connected
2026-02-24 10:06:49 | WARNING  | angel_source | Could not download master: HTTPSConnectionPool(host='margincalculator.angelbroking.com', port=443): Read timed out. — spot/OI may be unavailable
2026-02-24 10:06:49 | INFO     | angel_source | Bootstrapping spot prices …
2026-02-24 10:06:49 | INFO     | angel_source | Bootstrap done: 37/37 spots resolved
2026-02-24 10:06:49 | INFO     | angel_source | Angel WS thread started
2026-02-24 10:07:07 | INFO     | monitor | MIDCAPSELECT ATM changed 13400 → 13425
2026-02-24 10:07:07 | INFO     | monitor | MIDCAPSELECT: WS resubscription triggered for new strikes ITM=13400 ATM=13425 OTM=13450
2026-02-24 10:07:30 | INFO     | angel_source | Angel WS connected
2026-02-24 10:07:41 | INFO     | monitor | SBIN ATM changed 1240 → 1220
2026-02-24 10:07:41 | INFO     | monitor | SBIN: WS resubscription triggered for new strikes ITM=1200 ATM=1220 OTM=1240
2026-02-24 10:07:47 | INFO     | monitor | AXISBANK ATM changed 1400 → 1380
2026-02-24 10:07:47 | INFO     | monitor | AXISBANK: WS resubscription triggered for new strikes ITM=1360 ATM=1380 OTM=1400
2026-02-24 10:07:47 | INFO     | angel_source | Angel WS connected
2026-02-24 10:22:13 | INFO     | main | Shutdown signal (15) received — stopping …
2026-02-24 10:22:13 | INFO     | monitor | Index OI Monitor stopping …
2026-02-24 10:22:13 | INFO     | angel_source | AngelDataSource stopped
